Gene_Name,Avg_ALL,Avg_AML,Stdev_ALL,Stdev_AML,S2N_ALL,T_val_ALL,S2N_AML,T_val_AML
A28102_at,258.555555555556,91.5,203.127722861435,159.390519912063,0.460819721174507,3.56427660752249,-0.460819721174507,-3.56427660752249
AB000114_at,52.6666666666667,8.07894736842105,40.6977602861348,14.3024881202393,0.810682143993339,5.45835114746199,-0.810682143993339,-5.45835114746199
AB000115_at,311.851851851852,92.3684210526316,464.190006164891,231.601757573109,0.315444134636044,2.26476022103015,-0.315444134636044,-2.26476022103015
AB000220_at,38.962962962963,15.1578947368421,27.4359134116097,35.4984021839046,0.37825259559695,3.0469190235051,-0.37825259559695,-3.0469190235051
AB000409_at,73.7777777777778,32.6315789473684,78.6405323820569,95.2701481996333,0.236593857794041,1.90218279443437,-0.236593857794041,-1.90218279443437
AB000449_at,292.185185185185,36.4473684210526,213.288002662532,65.6875064711787,0.916703468194263,6.03043018048382,-0.916703468194263,-6.03043018048382
AB000450_at,173.925925925926,44.5789473684211,123.879260673735,85.9684516549129,0.61638498281521,4.68309911830092,-0.61638498281521,-4.68309911830092
AB000460_at,1885.37037037037,553.105263157895,492.15656890779,913.581688812617,0.947733406198194,7.57469939681019,-0.947733406198194,-7.57469939681019
AB000462_at,145.037037037037,46.0526315789474,140.99031103685,96.2912101650498,0.417160194172326,3.16156653666472,-0.417160194172326,-3.16156653666472
AB000464_at,871.925925925926,229.105263157895,469.937141944449,398.043172279814,0.740593596690654,5.78467264396961,-0.740593596690654,-5.78467264396961
AB000468_at,561.333333333333,80.9210526315789,507.658425442814,170.892787882384,0.707997084475797,4.73051800100029,-0.707997084475797,-4.73051800100029
AB000584_at,32.2222222222222,84.8421052631579,33.7471746205782,341.748091698011,-0.140134610901567,-0.942704765156746,0.140134610901567,0.942704765156746
AB000895_at,39.4444444444444,5.78947368421053,76.4663492269807,9.1921173478762,0.392897189337646,2.275320202234,-0.392897189337646,-2.275320202234
AB000896_at,21.8518518518519,8.18421052631579,7.22550878540586,19.2955046762513,0.515351396555644,3.99041505127676,-0.515351396555644,-3.99041505127676
AB000905_at,123.074074074074,33.1578947368421,61.1932160178699,59.8107494251613,0.743084567584396,5.89276248114731,-0.743084567584396,-5.89276248114731
AB001106_at,380.185185185185,101.815789473684,186.806365613215,177.769187623387,0.763543779170638,6.0399651028622,-0.763543779170638,-6.0399651028622
AB001325_at,997.518518518518,307.078947368421,412.446301434443,535.956854938547,0.72800218610677,5.86475123971917,-0.72800218610677,-5.86475123971917
AB002314_at,35.4814814814815,12.7631578947368,28.4569450362775,25.4711646297537,0.421270534558616,3.31149534477907,-0.421270534558616,-3.31149534477907
AB002315_at,165.407407407407,69.6052631578947,115.22628548251,140.532489169199,0.374580087740785,3.01231114228076,-0.374580087740785,-3.01231114228076
AB002318_at,1002.88888888889,300.552631578947,436.036372277265,526.990727513093,0.729300616216131,5.862955469528,-0.729300616216131,-5.862955469528
AB002365_at,80.8148148148148,13.8684210526316,69.3430918510589,31.2169142064792,0.665735776943749,4.69022209780124,-0.665735776943749,-4.69022209780124
