Gene_Name,T_value_ALL
U20499_at,11.3315913724713
X15414_at,11.3214307173366
L20688_at,11.2014311851162
M26708_s_at,11.0821328276315
M65214_s_at,11.049452161028
X91257_at,10.5845438659999
D26156_s_at,10.2967088003291
D23673_at,10.2251986488645
M17733_at,10.1947492616571
M14199_s_at,10.0415540915711
X98482_r_at,10.0289486115311
M31303_rna1_at,9.99737864234667
M10277_s_at,9.88646909079869
U58682_at,9.87986873482066
M23613_at,9.87426920148641
M11353_at,9.84173253834082
M84711_at,9.73853615202722
D63874_at,9.71557163955278
D50063_at,9.67166938414211
M14483_rna1_s_at,9.65555477545223
HG1800-HT1823_at,9.61988897041489
S62027_s_at,9.61692363683903
X55954_at,9.61417825617123
S68134_s_at,9.60471947927762
X83929_s_at,9.60242296492723
X52851_rna1_at,9.59088503033372
X99374_s_at,9.58044990563483
X53742_at,9.57781835465171
X02544_at,9.57781835465171
HG2723-HT2819_at,9.57781835465171
D79987_at,9.57781835465171
U20362_at,9.57369339366816
M33318_r_at,9.57316292064712
Z83741_at,9.56773523783822
U80456_at,9.56773523783822
U79751_at,9.56773523783822
X54667_at,9.55174929796747
U50146_at,9.55174929796747
J05008_at,9.55174929796747
HG273-HT273_at,9.55174929796747
S83249_at,9.55052305333988
L18972_at,9.54655048296289
U06155_s_at,9.54545119555094
Z80788_at,9.54201165066937
M57506_rna1_at,9.54201165066937
HG2706-HT2802_at,9.54201165066937
AB005535_s_at,9.54201165066937
HG613-HT613_at,9.54043809292173
V00533_rna1_f_at,9.53851694936129
M18000_at,9.52280486571203
U33054_at,9.51847674647285
HG3214-HT3391_at,9.51430862952675
X02158_rna1_at,9.51336044758519
U14970_at,9.51028599892532
X15940_at,9.50748266491644
X03342_at,9.50591712316458
M17885_at,9.5033119724995
M64554_rna1_at,9.48287333801502
X79200_s_at,9.48067617656947
D13413_rna1_s_at,9.47186679656725
L04483_s_at,9.46896185722592
X15954_rna1_s_at,9.46780380316848
U17977_at,9.46780380316848
M60854_at,9.46086491699948
M89914_s_at,9.45647725547803
D50912_at,9.44895178048252
M82827_s_at,9.4390528377453
X06617_at,9.43705476896391
V00551_f_at,9.43121008981877
S69232_at,9.42356994526605
M32402_at,9.4184627028479
HG3137-HT3313_at,9.4184627028479
HG1227-HT1227_s_at,9.4184627028479
X73460_at,9.40803956985081
U31215_s_at,9.40365574065571
X62691_at,9.39919649156992
HG3364-HT3541_at,9.39656706142324
U22376_cds2_s_at,9.3943891253538
U14973_at,9.39209307837652
Z70759_at,9.39025790063317
M60331_at,9.38512205920207
Z70222_at,9.37609511809371
U92459_at,9.37609511809371
M16652_s_at,9.37609511809371
M14338_at,9.37609511809371
M13577_at,9.37609511809371
U88666_at,9.37178683036197
M24194_at,9.35857194473659
AB002533_at,9.34313355794364
U66580_at,9.33769189292559
U32989_at,9.33753718317639
HG4340-HT4610_at,9.33753718317639
Z48520_at,9.33516239996699
X02883_at,9.3296303471031
M76125_s_at,9.3296303471031
L77571_at,9.3296303471031
L09234_at,9.32816050769019
M17886_at,9.32212755228587
Z80777_at,9.31755446329021
L49219_f_at,9.31152026569213
Z12962_at,9.29369569449634
D32050_at,9.28818895547395
X99585_at,9.28169571464057
U33837_at,9.27933137588103
M29580_at,9.27933137588103
L09753_at,9.27933137588103
HG4310-HT4580_at,9.27933137588103
HG3872-HT4142_at,9.27933137588103
L27624_s_at,9.27326451696734
U12404_at,9.24962237757791
HG4319-HT4589_at,9.23990215481182
D14530_at,9.23941496537929
AF000573_rna1_at,9.2377566543869
Z26876_at,9.23675953372086
HG4518-HT4921_r_at,9.23220052125476
X82629_at,9.22546560630314
U03877_at,9.22546560630314
S48983_at,9.22546560630314
HG458-HT458_f_at,9.22546560630314
L07033_at,9.21659165188456
U37139_at,9.20249945660106
U29607_at,9.20162378301797
L06895_at,9.19988924052687
M81757_at,9.18636677361407
L06499_at,9.18514788335293
D26598_at,9.1730992216548
Y11174_at,9.16830229594212
U47011_cds1_at,9.16830229594212
U13696_s_at,9.16830229594212
U12978_at,9.16830229594212
M73481_at,9.16830229594212
L33477_at,9.16830229594212
HG2743-HT3926_s_at,9.16830229594212
D87463_at,9.16830229594212
HG821-HT821_at,9.14314042082317
U49869_rna1_at,9.13888458313478
D23660_at,9.13477667117504
M90359_at,9.1286106585918
AC000061_cds3_at,9.1286106585918
X56411_rna1_at,9.12069476367516
HG4458-HT4727_at,9.10811019354715
D13264_at,9.10221751511853
D79205_at,9.10115696180578
U70981_at,9.09709489330934
D21851_at,9.07848407714974
U02493_at,9.06673514267806
HG2160-HT2230_at,9.06179990811267
Z78285_f_at,9.05936620789526
U16126_at,9.05586201111596
U15008_at,9.05506568173398
U66726_at,9.04515539328203
HG2358-HT4858_s_at,9.04515539328203
D89050_at,9.04515539328203
HG2855-HT2995_at,9.02754388490467
U82313_at,9.02470973758768
HG2530-HT2626_at,9.02294883349831
U62015_at,9.0175245332704
Z83806_at,9.00298670221025
J04617_s_at,8.98405919444987
U84551_cds2_at,8.98176659391352
D63882_s_at,8.97969942273118
L19527_at,8.96689360040263
X80822_at,8.96335879266135
S82472_at,8.95485151826898
U70735_at,8.95272827232857
