Gene_Name,T_value_AML
M55150_at,8.09195118285574
U50136_rna1_at,6.43595210306302
U82759_at,6.24302046824044
M81933_at,6.1649649994854
U12471_cds1_at,6.1462987952687
X95735_at,5.72764309500893
M11147_at,5.58864493240822
D49950_at,5.58806330870541
X17042_at,5.38862349571124
M21551_rna1_at,5.37729202365074
Y12670_at,5.32492816826152
M62762_at,5.12215311160167
X04085_rna1_at,4.93119068810354
M16038_at,4.93043714058088
Y00433_at,4.75531991721863
M23197_at,4.73777759933917
M69043_at,4.70805279383603
Y00787_s_at,4.7010848525308
Y07604_at,4.6768123162666
X58431_rna2_s_at,4.53066205055443
M37435_at,4.52872185752518
L08246_at,4.50626724951162
U60666_at,4.29261748762281
M80254_at,4.27113137304335
Z48501_s_at,4.24332410014011
U41767_s_at,4.23088781740908
D50310_at,4.2232763724185
U67963_at,4.20415321931827
M95678_at,4.20250757434606
M81695_s_at,4.19555573037453
L38608_at,4.15286839879883
U46751_at,4.12798211023889
M84526_at,4.05704243138381
M63138_at,4.04832497313411
U81554_at,4.02368750538165
M27891_at,3.98620362632479
M13485_at,3.98080188253426
U46499_at,3.9576765231658
M32304_s_at,3.92852511703293
X85116_rna1_s_at,3.92336929724084
X62573_at,3.92166747468554
Z30644_at,3.92137106937098
M31158_at,3.91501169809388
M28130_rna1_s_at,3.91100617230561
M96326_rna1_at,3.86951837460741
M75715_s_at,3.86846383088237
X83490_s_at,3.86792860825235
D43682_s_at,3.86628963157894
M22960_at,3.84628340157446
D14874_at,3.8450616652235
Z29481_at,3.84121177787053
M19045_f_at,3.83454929391714
M95178_at,3.82647512919331
L09209_s_at,3.82333375595398
U19713_s_at,3.80667578207722
X83378_at,3.80311517101823
X07730_at,3.77154455857357
U57094_at,3.76969859485471
U07132_at,3.76672556603797
M83652_s_at,3.72147837166379
L20941_at,3.71625915953239
M57710_at,3.69931048723503
X14008_rna1_f_at,3.65555365159946
X61587_at,3.65412708436614
J03801_f_at,3.63711393444802
M28209_at,3.63521292390587
M21904_at,3.60703065119821
L12392_at,3.58953406987632
X16667_at,3.5562143811438
L43579_s_at,3.55197162676713
L19779_at,3.55170742845265
X52192_at,3.54727386383869
M83221_at,3.54330268059591
X89101_s_at,3.53473566904233
X06985_at,3.51976352678023
X64072_s_at,3.50895836830945
V01516_f_at,3.50692409883629
X74570_at,3.49835676887977
M80899_at,3.49760406525691
D14811_at,3.46334692162031
U33821_at,3.46096282365322
Z32765_at,3.4539330610784
HG1879-HT1919_at,3.45374408733314
M22324_at,3.45076557355557
M68891_at,3.44585891411246
HG4535-HT4940_s_at,3.44181605577424
U51336_at,3.41600058263676
X75042_at,3.39807025951989
M93056_at,3.3903046376995
